Symbol,company_name,Industry
ERINQ,Erin Energy Corp,Energy
XLPI,Xcelplus International Inc,Energy
LNGNF,LNG Energy Group Corp,Energy
SEUSF,Sintana Energy Inc,Energy
ESOA,Energy Services of America Corp,Energy
BNNLF,Bannerman Energy Ltd,Energy
VLERF,Valeura Energy Inc,Energy
GASS,StealthGas Inc,Energy
PALAF,Paladin Energy Ltd,Energy
PEXNY,PTT Exploration and Production Public Co Ltd,Energy
OSG,Overseas Shipholding Group Inc.,Energy
BWLP,BW LPG Ltd,Energy
GIFI,Gulf Island Fabrication Inc,Energy
UEC,Uranium Energy Corp,Energy
SMLP,Summit Midstream Partners LP,Energy
TDW,Tidewater Inc.,Energy
TNK,Teekay Tankers Ltd,Energy
LPG,Dorian LPG Ltd,Energy
PTHRF,Pantheon Resources Plc,Energy
FRO,Frontline plc,Energy
AROC,Archrock Inc,Energy
NR,Newpark Resources Inc.,Energy
NRP,Natural Resource Partners LP,Energy
VIST,Vista Energy SAB de CV,Energy
NGS,Natural Gas Services Group Inc.,Energy
WSTRF,Western Uranium & Vanadium Corp,Energy
GLPEY,Galp Energia SGPS SA,Energy
ASC,Ardmore Shipping Corp,Energy
DNN,Denison Mines Corp,Energy
CCJ,Cameco Corp,Energy
GTMAY,Grupo TMM SAB,Energy
LMRXF,Laramide Resources Ltd,Energy
CVVUF,CanAlaska Uranium Ltd,Energy
HAFN,Hafnia Ltd,Energy
WFRD,Weatherford International plc,Energy
STNG,Scorpio Tankers Inc,Energy
TNP,Tsakos Energy Navigation Ltd,Energy
VTDRF,Vantage Drilling International Ltd,Energy
INSW,International Seaways Inc,Energy
SUBCY,Subsea 7 S.A.,Energy
ECO,Okeanis Eco Tankers Corp,Energy
KLNG,Koil Energy Solutions Inc,Energy
LBRT,Liberty Energy Inc,Energy
EU,enCore Energy Corp,Energy
FTI,TechnipFMC plc,Energy
FCUUF,Fission Uranium Corp,Energy
TRGP,Targa Resources Corp,Energy
YPF,Ypf Sociedad Anonima Yacimientos Petroliferos Fisc,Energy
NXE,NexGen Energy Ltd,Energy
SM,SM Energy Co,Energy
TK,Teekay Corp,Energy
TOPS,Top Ships Inc,Energy
CEIX,CONSOL Energy Inc,Energy
VIVK,Vivakor Inc,Energy
GPOR,Gulfport Energy Corp,Energy
SAPMY,Saipem SpA,Energy
MPC,Marathon Petroleum Corp,Energy
TRMD,Torm PLC,Energy
AR,Antero Resources Corporation,Energy
CSUAY,China Shenhua Energy Co Ltd,Energy
GLP,Global Partners LP,Energy
VLOWY,Vallourec SA,Energy
TUWOY,"Tullow Oil PLC, London",Energy
CNX,CNX Resources Corp,Energy
GTE,Gran Tierra Energy Inc,Energy
FDCFF,Forum Energy Metals Corp,Energy
DLNG,Dynagas LNG Partners LP,Energy
ETRN,Equitrans Midstream Corp,Energy
DHT,DHT Holdings Inc,Energy
URG,Ur-Energy Inc,Energy
SFL,SFL Corp Ltd,Energy
NGL,NGL Energy Partners LP,Energy
SOC,Sable Offshore Corp,Energy
PR,Permian Resources Corp,Energy
PSYTF,Pason Systems Inc,Energy
PHXHF,PHX Energy Services Corp,Energy
WES,Western Midstream Partners LP,Energy
FANG,Diamondback Energy Inc,Energy
HLX,Helix Energy Solutions Group Inc,Energy
PDS,Precision Drilling Corp,Energy
SBOW,SilverBow Resources Inc,Energy
DTM,DT Midstream Inc,Energy
VNOM,Viper Energy Inc,Energy
MMLP,Martin Midstream Partners LP,Energy
LEU,Centrus Energy Corp,Energy
EGY,VAALCO Energy Inc,Energy
SWN,Southwestern Energy Co,Energy
PSX,Phillips 66,Energy
ARLP,Alliance Resource Partners LP,Energy
VLO,Valero Energy Corp,Energy
SDRL,Seadrill Ltd,Energy
NEXT,NextDecade Corp,Energy
GWTI,Greenway Technologies Inc,Energy
GASXF,NG Energy International Corp,Energy
PLSDF,Pulse Seismic Inc,Energy
SND,Smart Sand Inc,Energy
REX,REX American Resources Corp,Energy
AM,Antero Midstream Corp,Energy
TGS,Transportadora de Gas del Sur SA,Energy
ISENF,IsoEnergy Ltd,Energy
HMENF,Hemisphere Energy Corp,Energy
IMO,Imperial Oil Ltd,Energy
WTTR,Select Water Solutions Inc,Energy
OKE,ONEOK Inc,Energy
WMB,Williams Cos Inc. (The),Energy
IPXHY,Inpex Corp,Energy
VTOL,Bristow Group Inc,Energy
YZCAY,Yankuang Energy Group Company Limited,Energy
PSHIF,Lucero Energy Corp,Energy
RRC,Range Resources Corp.,Energy
SU,Suncor Energy Inc.,Energy
KNOP,KNOT Offshore Partners LP,Energy
CNQ,Canadian Natural Resources Ltd,Energy
OVV,Ovintiv Inc,Energy
WHD,Cactus Inc,Energy
NVGS,Navigator Holdings Ltd,Energy
GEL,Genesis Energy LP,Energy
ENLC,Enlink Midstream LLC,Energy
PAGP,Plains GP Holdings LP,Energy
TPL,Texas Pacific Land Corp,Energy
PAA,Plains All American Pipeline LP,Energy
MPLX,MPLX LP,Energy
SMHI,SEACOR Marine Holdings Inc,Energy
GEOS,Geospace Technologies Corp,Energy
SUN,Sunoco LP,Energy
HESM,Hess Midstream LP,Energy
ET,Energy Transfer LP,Energy
SLCA,U S Silica Holdings Inc,Energy
ANLDF,Anfield Energy Inc,Energy
BDCO,Blue Dolphin Energy Co,Energy
KNTK,Kinetik Holdings Inc,Energy
UGP,Ultrapar Participacoes SA,Energy
SHEL,Shell Plc,Energy
GLNG,Golar LNG Ltd,Energy
PBR/A,Petroleo Brasileiro S.A.- Petrobras,Energy
AFFCF,American Future Fuel Corp,Energy
TTE,TotalEnergies SE,Energy
BTU,Peabody Energy Corp,Energy
USAC,USA Compression Partners LP,Energy
PUMP,ProPetro Holding Corp,Energy
AESI,Atlas Energy Solutions Inc,Energy
CRGY,Crescent Energy Company,Energy
THNPY,Technip Energies,Energy
OII,Oceaneering International Inc.,Energy
EC,Ecopetrol SA,Energy
DINO,HF Sinclair Corp,Energy
TS,Tenaris SA,Energy
TTI,TETRA Technologies Inc,Energy
MGY,Magnolia Oil & Gas Corp,Energy
DO,Diamond Offshore Drilling Inc.,Energy
MRO,Marathon Oil Corp,Energy
VAL,Valaris Ltd,Energy
CRC,California Resources Corp,Energy
CRK,Comstock Resources Inc,Energy
KMI,Kinder Morgan Inc.,Energy
PBA,Pembina Pipeline Corp,Energy
CTXAY,Ampol Ltd,Energy
NOG,Northern Oil and Gas Inc,Energy
OILSF,Saturn Oil & Gas Inc,Energy
PBF,PBF Energy Inc,Energy
UROY,Uranium Royalty Corp,Energy
MTDR,Matador Resources Co,Energy
EXCE,EXCO Resources Inc,Energy
PBR,Petroleo Brasileiro S.A.- Petrobras,Energy
VRN,Veren Inc,Energy
KRP,Kimbell Royalty Partners LP,Energy
CTRA,Coterra Energy Inc,Energy
OBE,Obsidian Energy Ltd,Energy
CHX,ChampionX Corp,Energy
NAT,Nordic American Tankers Ltd,Energy
PNRG,PrimeEnergy Resources Corp,Energy
LNG,Cheniere Energy Inc,Energy
CHRD,Chord Energy Corp,Energy
NOV,NOV Inc,Energy
REPYY,Repsol SA,Energy
CHK,Chesapeake Energy Corp,Energy
DMLP,Dorchester Minerals LP,Energy
PTALF,PetroTal Corp,Energy
EPD,Enterprise Products Partners LP,Energy
NOA,North American Construction Group Ltd,Energy
HES,Hess Corp,Energy
CVE,Cenovus Energy Inc,Energy
E,Eni SpA,Energy
CQP,Cheniere Energy Partners LP,Energy
EPSN,Epsilon Energy Ltd,Energy
XPRO,Expro Group Holdings N V,Energy
COP,Conocophillips,Energy
PFIE,Profire Energy Inc,Energy
IMPP,Imperial Petroleum Inc,Energy
PHX,PHX Minerals Inc,Energy
DWSN,Dawson Geophysical Co,Energy
FUUFF,F3 Uranium Corp,Energy
OMVKY,OMV Aktiengesellschaft,Energy
PARR,Par Pacific Holdings Inc,Energy
HAL,Halliburton Co,Energy
EQT,EQT Corp,Energy
NCSM,NCS Multistage Holdings Inc,Energy
CAPL,CrossAmerica Partners LP,Energy
NE,Noble Corporation Plc,Energy
SDPI,Superior Drilling Products Inc,Energy
WKC,World Kinect Corp,Energy
XOM,Exxon Mobil Corp,Energy
EOG,EOG Resources Inc.,Energy
BKR,Baker Hughes a GE Co,Energy
DK,Delek US Holdings Inc,Energy
MXC,Mexco Energy Corp,Energy
GRNT,Granite Ridge Resources Inc,Energy
SDTTU,SandRidge Mississippian Trust I,Energy
ZNOG,Zion Oil & Gas Inc,Energy
MUR,Murphy Oil Corp,Energy
PED,PEDEVCO Corp,Energy
HNRG,Hallador Energy Co,Energy
ARET,Arete Industries Inc,Energy
DOMR,Dominion Resources Black Warrior Trust,Energy
YUMAQ,Yuma Energy Inc,Energy
WWNG,WW Energy Inc,Energy
TBTEF,Twin Butte Energy Ltd,Energy
LBYE,Liberty Energy Corp,Energy
VTGDF,Vantage Drilling Co,Energy
RTSO,RTS Oil Holdings,Energy
ALME,Alamo Energy Corp,Energy
MKRYF,Manitok Energy Inc,Energy
GLRI,Glori Energy Inc,Energy
NSLPQ,New Source Energy Partners LP,Energy
PQEFF,Petroteq Energy Inc,Energy
EURN,Euronav,Energy
HP,Helmerich & Payne Inc.,Energy
OXY,Occidental Petroleum Corp,Energy
EQNR,Equinor ASA,Energy
BP,BP plc,Energy
SSLZY,Santos Ltd,Energy
VTLE,Vital Energy Inc,Energy
CVX,Chevron Corp,Energy
CVI,CVR Energy Inc,Energy
BSM,Black Stone Minerals LP,Energy
CLMT,Calumet Specialty Products Partners LP,Energy
SOI,Solaris Oilfield Infrastructure Inc,Energy
TXO,TXO Energy Partners LP,Energy
ROYL,Royale Energy Inc,Energy
SBR,Sabine Royalty Trust,Energy
SLNG,Stabilis Solutions Inc,Energy
GPRK,GeoPark Ltd,Energy
SYHBF,Skyharbour Resources Ltd,Energy
BRN,Barnwell Industries Inc,Energy
VTS,Vitesse Energy Inc,Energy
TRP,TC Energy Corp,Energy
ENB,Enbridge Inc,Energy
UUUU,Energy Fuels Inc,Energy
BTE,Baytex Energy Corp,Energy
DVN,Devon Energy Corp,Energy
PUTKY,PT United Tractors TBK,Energy
SLB,Schlumberger Ltd,Energy
CIVI,Civitas Resources Inc,Energy
MGYOY,MOL Hungarian Oil and Gas PLC,Energy
FLNG,Flex LNG Ltd,Energy
VET,Vermilion Energy Inc,Energy
DTI,Drilling Tools International Corp,Energy
NC,NACCO Industries Inc.,Energy
PTEN,Patterson-UTI Energy Inc,Energy
BRY,Berry Corp,Energy
CGGYY,Viridien Societe anonyme,Energy
BATL,Battalion Oil Corp,Energy
HPK,HighPeak Energy Inc,Energy
RNGR,Ranger Energy Services Inc,Energy
DELKY,Delek Group Ltd,Energy
MIND,MIND Technology Inc,Energy
SD,SandRidge Energy Inc,Energy
CLCO,Cool Company Ltd,Energy
RIG,Transocean Ltd,Energy
TUSK,Mammoth Energy Services Inc,Energy
RES,RPC Inc.,Energy
REI,Ring Energy Inc,Energy
PTRUF,Petrus Resources Ltd,Energy
OOGI,C2E Energy Inc,Energy
APA,APA Corporation,Energy
RECAF,Reconnaissance Energy Africa Ltd.,Energy
EZFL,EzFill Holdings Inc,Energy
EE,Excelerate Energy Inc,Energy
CWEGF,Crew Energy Inc,Energy
IPOOF,InPlay Oil Corp,Energy
STR,Sitio Royalties Corp,Energy
EFXT,Enerflex Ltd,Energy
KGEI,Kolibri Global Energy Inc,Energy
KOS,Kosmos Energy Ltd,Energy
BORR,Borr Drilling Limited,Energy
AMPY,Amplify Energy Corp,Energy
PRT,PermRock Royalty Trust,Energy
WDS,Woodside Energy Group Ltd,Energy
TALO,Talos Energy Inc,Energy
UNTC,Unit Corp,Energy
ROKRF,ROK Resources Inc,Energy
AE,Adams Resources & Energy Inc.,Energy
NFE,New Fortress Energy Inc,Energy
OPAL,OPAL Fuels Inc,Energy
PIFYF,Pine Cliff Energy Ltd,Energy
AZURF,Azincourt Energy Corp,Energy
NSFDF,NXT Energy Solutions Inc,Energy
BKUCF,Blue Sky Uranium Corp,Energy
DKL,Delek Logistics Partners LP,Energy
MVO,MV Oil Trust,Energy
ACDC,ProFrac Holding Corp,Energy
CLB,Core Laboratories Inc,Energy
CSAN,Cosan SA,Energy
BOOM,DMC Global Inc,Energy
DRQ,Dril-Quip Inc.,Energy
GENGF,Gear Energy Ltd,Energy
PTUUF,Purepoint Uranium Group Inc,Energy
APAAF,Appia Rare Earths & Uranium Corp.,Energy
GVXXF,GoviEx Uranium Inc,Energy
FET,Forum Energy Technologies Inc,Energy
AREC,American Resources Corp,Energy
USEG,US Energy Corp,Energy
REPX,Riley Exploration-Permian LLC,Energy
BSENF,Baselode Energy Corp,Energy
EPM,Evolution Petroleum Corp,Energy
CLNE,Clean Energy Fuels Corp,Energy
NBR,Nabors Industries Ltd,Energy
TAOIF,TAG Oil Ltd,Energy
CLNV,Clean Vision Corp,Energy
VOC,VOC Energy Trust,Energy
INDO,Indonesia Energy Corp Ltd,Energy
DEC,Diversified Energy Company PLC,Energy
ROYTL,Pacific Coast Oil Trust,Energy
